Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
10639	graduate degree	male	India	seek better job	computer programmer	5+ years	will look for work	many times as tourist	used interpreter
10640	high school	male	Sudan	escape persecution	gardener	5+ years	no plans to look for work	never	used interpreter
10641	two-year college	male	China	reunite with family	construction worker	1-2 years	no plans to look for work	once w/o authorization	used interpreter
10642	two-year college	female	Sudan	escape persecution	doctor	5+ years	contract with employer	once as tourist	tried English but unable
10643	high school	male	France	seek better job	waiter	none	will look for work	many times as tourist	fluent English
10644	graduate degree	female	Germany	seek better job	doctor	1-2 years	contract with employer	once w/o authorization	used interpreter
10645	4th grade	male	Philippines	seek better job	janitor	3-5 years	no plans to look for work	never	used interpreter
10646	no formal	female	Iraq	reunite with family	waiter	5+ years	contract with employer	six months with family	fluent English
10647	no formal	male	France	seek better job	nurse	none	will look for work	six months with family	broken English
10648	graduate degree	male	Mexico	seek better job	financial analyst	5+ years	contract with employer	once as tourist	fluent English
10649	high school	female	Somalia	escape persecution	teacher	3-5 years	will look for work	many times as tourist	broken English
10650	no formal	male	Philippines	reunite with family	construction worker	5+ years	will look for work	never	used interpreter
10651	college degree	female	Poland	seek better job	child care provider	5+ years	contract with employer	never	broken English
10652	8th grade	female	China	reunite with family	construction worker	5+ years	contract with employer	many times as tourist	broken English
10653	no formal	female	Poland	seek better job	gardener	1-2 years	contract with employer	many times as tourist	fluent English
10654	8th grade	male	India	reunite with family	gardener	3-5 years	interviews with employer	six months with family	used interpreter
10655	no formal	male	Sudan	reunite with family	nurse	none	will look for work	once as tourist	used interpreter
10656	college degree	male	Philippines	reunite with family	gardener	none	interviews with employer	once as tourist	tried English but unable
10657	graduate degree	female	Mexico	reunite with family	gardener	5+ years	contract with employer	many times as tourist	used interpreter
10658	graduate degree	female	France	seek better job	doctor	3-5 years	interviews with employer	many times as tourist	tried English but unable
10659	high school	female	Poland	reunite with family	child care provider	none	no plans to look for work	once as tourist	broken English
10660	graduate degree	male	Somalia	seek better job	computer programmer	1-2 years	no plans to look for work	many times as tourist	used interpreter
10661	8th grade	male	Philippines	seek better job	teacher	3-5 years	no plans to look for work	many times as tourist	used interpreter
10662	8th grade	female	Iraq	reunite with family	janitor	none	no plans to look for work	many times as tourist	used interpreter
10663	8th grade	female	Mexico	seek better job	waiter	none	interviews with employer	six months with family	tried English but unable
10664	two-year college	female	Somalia	escape persecution	gardener	none	contract with employer	once w/o authorization	used interpreter
10665	high school	male	France	reunite with family	child care provider	1-2 years	contract with employer	once as tourist	tried English but unable
10666	college degree	female	Germany	reunite with family	gardener	5+ years	interviews with employer	once w/o authorization	tried English but unable
10667	graduate degree	male	Sudan	seek better job	nurse	3-5 years	interviews with employer	many times as tourist	tried English but unable
10668	graduate degree	female	Mexico	seek better job	waiter	5+ years	will look for work	never	fluent English
10669	two-year college	female	Sudan	seek better job	nurse	3-5 years	will look for work	many times as tourist	used interpreter
10670	college degree	female	India	reunite with family	janitor	3-5 years	interviews with employer	many times as tourist	tried English but unable
10671	4th grade	female	Poland	reunite with family	janitor	1-2 years	contract with employer	six months with family	broken English
10672	8th grade	female	Poland	seek better job	child care provider	5+ years	contract with employer	never	tried English but unable
10673	two-year college	male	Poland	reunite with family	research scientist	5+ years	contract with employer	many times as tourist	used interpreter
10674	college degree	female	Iraq	reunite with family	doctor	none	contract with employer	once as tourist	fluent English
10675	high school	female	Sudan	reunite with family	nurse	none	interviews with employer	once as tourist	tried English but unable
10676	8th grade	female	Philippines	reunite with family	gardener	3-5 years	contract with employer	never	used interpreter
10677	two-year college	male	China	seek better job	teacher	none	will look for work	six months with family	used interpreter
10678	no formal	male	Somalia	seek better job	gardener	none	contract with employer	once w/o authorization	fluent English
10679	4th grade	male	Germany	reunite with family	gardener	1-2 years	contract with employer	many times as tourist	used interpreter
10680	4th grade	male	Philippines	seek better job	teacher	none	will look for work	once w/o authorization	broken English
10681	college degree	female	Iraq	seek better job	doctor	5+ years	will look for work	six months with family	broken English
10682	8th grade	male	China	seek better job	nurse	none	will look for work	many times as tourist	used interpreter
10683	high school	male	Somalia	escape persecution	waiter	3-5 years	no plans to look for work	once as tourist	tried English but unable
10684	no formal	male	Philippines	reunite with family	gardener	5+ years	will look for work	six months with family	tried English but unable
10685	8th grade	male	Poland	reunite with family	janitor	5+ years	contract with employer	once as tourist	broken English
10686	4th grade	male	Iraq	seek better job	janitor	1-2 years	contract with employer	never	broken English
10687	4th grade	male	China	escape persecution	child care provider	none	no plans to look for work	six months with family	fluent English
10688	4th grade	male	Somalia	escape persecution	waiter	none	will look for work	many times as tourist	broken English
10689	no formal	male	China	escape persecution	gardener	5+ years	contract with employer	six months with family	fluent English
10690	two-year college	male	Sudan	reunite with family	nurse	3-5 years	will look for work	many times as tourist	used interpreter
10691	high school	male	Philippines	seek better job	nurse	none	interviews with employer	once as tourist	fluent English
10692	college degree	male	India	seek better job	waiter	3-5 years	interviews with employer	once as tourist	tried English but unable
10693	4th grade	male	China	seek better job	construction worker	none	no plans to look for work	once w/o authorization	tried English but unable
10694	college degree	female	India	reunite with family	financial analyst	3-5 years	will look for work	once as tourist	tried English but unable
10695	two-year college	male	Mexico	reunite with family	research scientist	1-2 years	contract with employer	once w/o authorization	broken English
10696	two-year college	female	China	seek better job	nurse	none	interviews with employer	six months with family	used interpreter
10697	two-year college	female	China	seek better job	computer programmer	none	interviews with employer	once as tourist	broken English
10698	high school	female	Mexico	seek better job	waiter	none	interviews with employer	never	fluent English
10699	high school	male	Poland	seek better job	nurse	none	will look for work	never	fluent English
10700	8th grade	female	France	seek better job	gardener	1-2 years	no plans to look for work	six months with family	broken English
10701	4th grade	female	China	seek better job	child care provider	5+ years	contract with employer	once w/o authorization	broken English
10702	8th grade	male	Germany	reunite with family	waiter	5+ years	contract with employer	once as tourist	fluent English
10703	8th grade	male	France	seek better job	waiter	3-5 years	contract with employer	once as tourist	broken English
10704	no formal	female	India	reunite with family	janitor	none	contract with employer	once as tourist	fluent English
10705	college degree	female	Poland	seek better job	doctor	5+ years	interviews with employer	once as tourist	fluent English
10706	two-year college	female	China	reunite with family	research scientist	none	contract with employer	once w/o authorization	used interpreter
10707	two-year college	male	Sudan	reunite with family	child care provider	none	contract with employer	once w/o authorization	broken English
10708	graduate degree	male	Somalia	escape persecution	doctor	none	interviews with employer	once as tourist	fluent English
10709	college degree	male	Germany	seek better job	research scientist	1-2 years	contract with employer	once as tourist	used interpreter
10710	4th grade	male	Iraq	seek better job	gardener	1-2 years	no plans to look for work	six months with family	broken English
10711	4th grade	male	Germany	reunite with family	janitor	none	no plans to look for work	many times as tourist	broken English
10712	college degree	male	India	seek better job	gardener	none	interviews with employer	once as tourist	used interpreter
10713	high school	male	Sudan	reunite with family	teacher	3-5 years	will look for work	never	fluent English
10714	graduate degree	male	Germany	reunite with family	gardener	5+ years	contract with employer	once w/o authorization	fluent English
10715	no formal	female	France	reunite with family	waiter	1-2 years	no plans to look for work	once w/o authorization	fluent English
10716	two-year college	male	Iraq	escape persecution	waiter	none	interviews with employer	once as tourist	fluent English
10717	graduate degree	female	Poland	reunite with family	financial analyst	3-5 years	will look for work	six months with family	fluent English
10718	8th grade	female	India	seek better job	child care provider	5+ years	interviews with employer	many times as tourist	used interpreter
10719	high school	female	Sudan	seek better job	teacher	3-5 years	interviews with employer	six months with family	tried English but unable
10720	4th grade	male	France	seek better job	child care provider	none	contract with employer	once as tourist	used interpreter
10721	no formal	male	Mexico	reunite with family	teacher	none	contract with employer	never	broken English
10722	college degree	male	Iraq	reunite with family	construction worker	none	will look for work	many times as tourist	broken English
10723	high school	female	Philippines	seek better job	child care provider	1-2 years	contract with employer	never	fluent English
10724	8th grade	female	Sudan	escape persecution	child care provider	3-5 years	will look for work	once as tourist	used interpreter
10725	no formal	female	France	seek better job	construction worker	3-5 years	no plans to look for work	six months with family	tried English but unable
10726	graduate degree	female	Iraq	seek better job	child care provider	1-2 years	no plans to look for work	once as tourist	broken English
10727	4th grade	female	Poland	reunite with family	nurse	5+ years	no plans to look for work	once w/o authorization	used interpreter
10728	8th grade	male	Mexico	reunite with family	waiter	5+ years	will look for work	once as tourist	broken English
10729	8th grade	male	Philippines	seek better job	janitor	1-2 years	no plans to look for work	many times as tourist	fluent English
10730	college degree	male	Philippines	seek better job	financial analyst	3-5 years	no plans to look for work	once as tourist	tried English but unable
10731	4th grade	female	China	escape persecution	construction worker	none	will look for work	never	used interpreter
10732	8th grade	female	Somalia	reunite with family	construction worker	3-5 years	interviews with employer	never	broken English
10733	no formal	female	Iraq	reunite with family	nurse	none	will look for work	many times as tourist	fluent English
10734	no formal	male	Philippines	reunite with family	teacher	none	will look for work	many times as tourist	fluent English
10735	no formal	male	India	reunite with family	construction worker	1-2 years	contract with employer	once w/o authorization	used interpreter
10736	graduate degree	female	China	seek better job	teacher	5+ years	interviews with employer	six months with family	tried English but unable
10737	no formal	female	France	reunite with family	construction worker	1-2 years	no plans to look for work	never	broken English
10738	8th grade	male	Poland	reunite with family	nurse	none	contract with employer	six months with family	tried English but unable
10739	college degree	male	Germany	seek better job	waiter	none	contract with employer	many times as tourist	used interpreter
10740	high school	male	Iraq	reunite with family	nurse	3-5 years	contract with employer	never	tried English but unable
10741	two-year college	female	Germany	reunite with family	nurse	5+ years	interviews with employer	once w/o authorization	tried English but unable
10742	graduate degree	male	France	reunite with family	computer programmer	3-5 years	contract with employer	six months with family	used interpreter
10743	no formal	male	India	reunite with family	child care provider	1-2 years	will look for work	many times as tourist	fluent English
10744	8th grade	male	China	reunite with family	nurse	none	no plans to look for work	never	broken English
10745	college degree	male	Sudan	reunite with family	gardener	5+ years	interviews with employer	once w/o authorization	broken English
10746	no formal	male	Poland	reunite with family	teacher	5+ years	interviews with employer	once w/o authorization	broken English
10747	8th grade	female	Sudan	reunite with family	teacher	1-2 years	no plans to look for work	six months with family	used interpreter
10748	no formal	female	Sudan	reunite with family	teacher	3-5 years	contract with employer	once w/o authorization	used interpreter
10749	two-year college	male	Poland	reunite with family	computer programmer	3-5 years	interviews with employer	many times as tourist	fluent English
10750	4th grade	male	India	seek better job	child care provider	3-5 years	contract with employer	once as tourist	used interpreter
10751	high school	female	Philippines	seek better job	waiter	1-2 years	interviews with employer	never	fluent English
10752	two-year college	male	Germany	reunite with family	research scientist	1-2 years	no plans to look for work	six months with family	fluent English
10753	4th grade	female	Mexico	seek better job	construction worker	3-5 years	will look for work	once w/o authorization	broken English
10754	8th grade	female	China	seek better job	janitor	1-2 years	contract with employer	never	fluent English
10755	4th grade	female	Somalia	escape persecution	gardener	1-2 years	no plans to look for work	once as tourist	used interpreter
10756	no formal	female	Mexico	reunite with family	nurse	none	will look for work	never	broken English
10757	two-year college	female	France	seek better job	doctor	1-2 years	contract with employer	once w/o authorization	tried English but unable
10758	8th grade	female	Somalia	seek better job	waiter	1-2 years	will look for work	never	broken English
10759	no formal	male	China	escape persecution	child care provider	3-5 years	interviews with employer	never	fluent English
10760	no formal	male	France	seek better job	construction worker	1-2 years	contract with employer	many times as tourist	tried English but unable
10761	college degree	female	Philippines	seek better job	janitor	5+ years	no plans to look for work	many times as tourist	broken English
10762	graduate degree	female	China	reunite with family	construction worker	none	will look for work	once as tourist	tried English but unable
10763	graduate degree	male	Iraq	escape persecution	doctor	none	will look for work	six months with family	used interpreter
10764	two-year college	male	India	reunite with family	teacher	1-2 years	will look for work	never	tried English but unable
10765	college degree	male	Poland	seek better job	janitor	none	will look for work	once w/o authorization	used interpreter
10766	two-year college	male	Iraq	escape persecution	computer programmer	5+ years	no plans to look for work	many times as tourist	broken English
10767	two-year college	female	India	reunite with family	nurse	none	no plans to look for work	once w/o authorization	tried English but unable
10768	college degree	male	Philippines	seek better job	teacher	none	no plans to look for work	once as tourist	used interpreter
10769	high school	male	China	seek better job	nurse	1-2 years	will look for work	once w/o authorization	tried English but unable
10770	college degree	female	Somalia	seek better job	nurse	1-2 years	interviews with employer	once as tourist	broken English
10771	4th grade	female	France	seek better job	waiter	1-2 years	interviews with employer	once w/o authorization	broken English
10772	8th grade	female	Sudan	seek better job	janitor	3-5 years	no plans to look for work	six months with family	fluent English
10773	high school	female	Poland	reunite with family	nurse	5+ years	interviews with employer	six months with family	fluent English
10774	two-year college	female	Somalia	escape persecution	teacher	5+ years	interviews with employer	six months with family	used interpreter
10775	college degree	female	India	seek better job	construction worker	none	contract with employer	once w/o authorization	fluent English
10776	no formal	female	Sudan	escape persecution	child care provider	5+ years	no plans to look for work	never	tried English but unable
10777	college degree	female	Germany	reunite with family	gardener	none	contract with employer	never	used interpreter
10778	no formal	male	Sudan	escape persecution	nurse	3-5 years	no plans to look for work	never	tried English but unable
10779	high school	female	France	seek better job	waiter	5+ years	will look for work	six months with family	used interpreter
10780	two-year college	female	Philippines	seek better job	child care provider	1-2 years	no plans to look for work	many times as tourist	broken English
10781	high school	male	Mexico	seek better job	teacher	none	contract with employer	never	fluent English
10782	4th grade	female	Sudan	seek better job	construction worker	none	no plans to look for work	many times as tourist	tried English but unable
10783	college degree	female	Mexico	seek better job	doctor	5+ years	will look for work	many times as tourist	fluent English
10784	8th grade	female	Philippines	seek better job	nurse	5+ years	interviews with employer	never	tried English but unable
10785	no formal	male	Philippines	seek better job	construction worker	1-2 years	interviews with employer	never	broken English
10786	8th grade	male	Philippines	reunite with family	waiter	5+ years	interviews with employer	once w/o authorization	broken English
10787	graduate degree	female	China	seek better job	child care provider	none	interviews with employer	never	tried English but unable
10788	two-year college	female	France	reunite with family	janitor	5+ years	interviews with employer	once w/o authorization	used interpreter
10789	high school	female	Germany	seek better job	construction worker	3-5 years	will look for work	many times as tourist	fluent English
10790	4th grade	female	Iraq	reunite with family	waiter	5+ years	no plans to look for work	many times as tourist	used interpreter
10791	no formal	female	Poland	seek better job	waiter	3-5 years	interviews with employer	once w/o authorization	tried English but unable
10792	8th grade	female	Somalia	seek better job	janitor	3-5 years	interviews with employer	six months with family	broken English
10793	8th grade	female	China	reunite with family	nurse	none	no plans to look for work	six months with family	used interpreter
10794	college degree	male	Sudan	seek better job	child care provider	1-2 years	will look for work	once w/o authorization	broken English
10795	college degree	male	Iraq	seek better job	nurse	none	interviews with employer	once w/o authorization	broken English
10796	two-year college	female	Philippines	reunite with family	waiter	3-5 years	will look for work	once as tourist	tried English but unable
10797	8th grade	female	Philippines	seek better job	janitor	3-5 years	no plans to look for work	never	fluent English
10798	two-year college	female	Somalia	reunite with family	janitor	5+ years	contract with employer	never	fluent English
10799	college degree	female	Sudan	seek better job	computer programmer	3-5 years	will look for work	many times as tourist	used interpreter
10800	college degree	male	Iraq	seek better job	teacher	3-5 years	contract with employer	once w/o authorization	tried English but unable
10801	4th grade	male	Iraq	reunite with family	teacher	5+ years	will look for work	never	fluent English
10802	no formal	female	Philippines	seek better job	janitor	1-2 years	interviews with employer	six months with family	broken English
10803	4th grade	male	China	reunite with family	child care provider	3-5 years	contract with employer	many times as tourist	tried English but unable
10804	4th grade	female	Iraq	reunite with family	teacher	3-5 years	interviews with employer	once as tourist	tried English but unable
10805	4th grade	female	Sudan	escape persecution	waiter	1-2 years	no plans to look for work	six months with family	tried English but unable
10806	graduate degree	female	India	reunite with family	construction worker	1-2 years	contract with employer	six months with family	fluent English
10807	4th grade	male	Sudan	reunite with family	construction worker	3-5 years	no plans to look for work	once as tourist	tried English but unable
10808	two-year college	male	France	reunite with family	child care provider	3-5 years	no plans to look for work	never	tried English but unable
10809	high school	male	Somalia	seek better job	janitor	1-2 years	interviews with employer	never	tried English but unable
10810	8th grade	male	China	seek better job	construction worker	1-2 years	will look for work	many times as tourist	used interpreter
10811	no formal	female	Sudan	reunite with family	janitor	3-5 years	will look for work	never	fluent English
10812	college degree	female	Sudan	seek better job	computer programmer	none	no plans to look for work	once w/o authorization	fluent English
10813	high school	female	Somalia	reunite with family	teacher	5+ years	will look for work	six months with family	tried English but unable
10814	two-year college	female	Germany	reunite with family	gardener	none	no plans to look for work	never	tried English but unable
10815	high school	female	Philippines	seek better job	waiter	5+ years	interviews with employer	never	tried English but unable
10816	graduate degree	female	Germany	seek better job	computer programmer	1-2 years	interviews with employer	never	tried English but unable
10817	8th grade	male	Somalia	escape persecution	waiter	5+ years	contract with employer	many times as tourist	fluent English
10818	college degree	male	India	seek better job	construction worker	5+ years	contract with employer	six months with family	broken English
10819	4th grade	male	Sudan	reunite with family	nurse	none	interviews with employer	never	broken English
10820	two-year college	female	Sudan	reunite with family	research scientist	1-2 years	contract with employer	many times as tourist	tried English but unable
10821	4th grade	male	Mexico	reunite with family	nurse	1-2 years	will look for work	once as tourist	tried English but unable
10822	graduate degree	male	Somalia	reunite with family	waiter	1-2 years	interviews with employer	once as tourist	used interpreter
10823	4th grade	male	Mexico	reunite with family	gardener	1-2 years	no plans to look for work	six months with family	fluent English
10824	4th grade	female	Mexico	seek better job	teacher	1-2 years	interviews with employer	once as tourist	used interpreter
10825	high school	male	China	seek better job	teacher	5+ years	will look for work	many times as tourist	fluent English
10826	4th grade	male	Iraq	escape persecution	janitor	none	interviews with employer	many times as tourist	tried English but unable
10827	college degree	female	Somalia	escape persecution	teacher	3-5 years	contract with employer	never	fluent English
10828	8th grade	male	Somalia	seek better job	construction worker	1-2 years	interviews with employer	six months with family	fluent English
10829	graduate degree	female	Sudan	escape persecution	teacher	1-2 years	contract with employer	once w/o authorization	fluent English
10830	graduate degree	male	India	seek better job	child care provider	3-5 years	no plans to look for work	six months with family	broken English
10831	two-year college	female	Somalia	escape persecution	child care provider	5+ years	contract with employer	six months with family	tried English but unable
10832	graduate degree	male	France	seek better job	construction worker	1-2 years	no plans to look for work	many times as tourist	fluent English
10833	graduate degree	male	Somalia	escape persecution	financial analyst	1-2 years	no plans to look for work	never	tried English but unable
10834	high school	female	Somalia	seek better job	construction worker	1-2 years	will look for work	once as tourist	fluent English
10835	high school	male	India	reunite with family	construction worker	5+ years	will look for work	six months with family	fluent English
10836	8th grade	male	Germany	reunite with family	construction worker	5+ years	contract with employer	six months with family	fluent English
10837	8th grade	female	Poland	reunite with family	teacher	none	will look for work	many times as tourist	fluent English
10838	graduate degree	male	Germany	reunite with family	nurse	none	contract with employer	never	used interpreter
10839	college degree	female	Somalia	seek better job	research scientist	3-5 years	no plans to look for work	once as tourist	fluent English
10840	graduate degree	female	Poland	reunite with family	construction worker	1-2 years	contract with employer	many times as tourist	broken English
10841	two-year college	male	Germany	reunite with family	construction worker	1-2 years	contract with employer	once w/o authorization	fluent English
10842	4th grade	male	Germany	seek better job	gardener	1-2 years	contract with employer	many times as tourist	used interpreter
10843	college degree	female	Poland	reunite with family	janitor	none	no plans to look for work	never	used interpreter
10844	two-year college	female	India	seek better job	nurse	1-2 years	contract with employer	once as tourist	broken English
10845	4th grade	female	Mexico	reunite with family	gardener	3-5 years	no plans to look for work	many times as tourist	broken English
10846	4th grade	female	Sudan	escape persecution	child care provider	none	interviews with employer	never	broken English
10847	graduate degree	female	Poland	reunite with family	doctor	1-2 years	no plans to look for work	never	tried English but unable
10848	4th grade	male	Mexico	seek better job	child care provider	1-2 years	will look for work	once w/o authorization	used interpreter
10849	4th grade	female	Philippines	reunite with family	waiter	5+ years	interviews with employer	once w/o authorization	broken English
10850	8th grade	female	India	reunite with family	teacher	1-2 years	interviews with employer	once w/o authorization	used interpreter
10851	4th grade	male	Iraq	reunite with family	gardener	5+ years	will look for work	six months with family	used interpreter
10852	college degree	male	Sudan	seek better job	janitor	1-2 years	contract with employer	once w/o authorization	used interpreter
10853	8th grade	female	Somalia	seek better job	child care provider	5+ years	will look for work	once as tourist	tried English but unable
10854	graduate degree	male	Mexico	reunite with family	child care provider	5+ years	interviews with employer	once w/o authorization	broken English
10855	graduate degree	male	Sudan	escape persecution	doctor	5+ years	will look for work	once w/o authorization	broken English
10856	graduate degree	female	France	seek better job	gardener	3-5 years	contract with employer	once as tourist	broken English
10857	high school	female	Somalia	escape persecution	child care provider	5+ years	no plans to look for work	six months with family	used interpreter
10858	4th grade	female	France	reunite with family	teacher	none	no plans to look for work	six months with family	fluent English
10859	college degree	male	India	seek better job	waiter	none	will look for work	once as tourist	broken English
10860	high school	female	Somalia	seek better job	janitor	3-5 years	no plans to look for work	once as tourist	fluent English
10861	graduate degree	male	Somalia	escape persecution	janitor	3-5 years	contract with employer	never	fluent English
10862	8th grade	female	Germany	seek better job	construction worker	3-5 years	will look for work	once w/o authorization	tried English but unable
10863	college degree	female	France	seek better job	doctor	none	will look for work	once as tourist	fluent English
10864	no formal	male	Philippines	reunite with family	gardener	1-2 years	interviews with employer	six months with family	broken English
10865	graduate degree	female	Sudan	escape persecution	gardener	none	contract with employer	six months with family	tried English but unable
10866	no formal	male	Mexico	reunite with family	nurse	1-2 years	no plans to look for work	never	fluent English
10867	4th grade	female	Germany	seek better job	construction worker	1-2 years	interviews with employer	many times as tourist	fluent English
10868	two-year college	male	Poland	reunite with family	nurse	5+ years	interviews with employer	once w/o authorization	fluent English
10869	graduate degree	male	India	seek better job	gardener	5+ years	contract with employer	many times as tourist	broken English
10870	no formal	female	France	seek better job	construction worker	5+ years	contract with employer	once w/o authorization	tried English but unable
10871	graduate degree	male	China	escape persecution	construction worker	none	interviews with employer	once w/o authorization	fluent English
10872	8th grade	male	China	escape persecution	teacher	3-5 years	interviews with employer	never	fluent English
10873	two-year college	male	Philippines	seek better job	gardener	3-5 years	contract with employer	never	used interpreter
10874	graduate degree	female	Sudan	seek better job	waiter	3-5 years	no plans to look for work	many times as tourist	tried English but unable
10875	graduate degree	male	Somalia	escape persecution	research scientist	none	interviews with employer	many times as tourist	fluent English
10876	graduate degree	male	France	seek better job	janitor	1-2 years	will look for work	once as tourist	used interpreter
10877	high school	male	Philippines	reunite with family	teacher	3-5 years	interviews with employer	once as tourist	broken English
10878	no formal	male	Somalia	escape persecution	teacher	none	will look for work	never	fluent English
10879	8th grade	male	China	escape persecution	janitor	none	interviews with employer	six months with family	used interpreter
10880	8th grade	male	Mexico	reunite with family	teacher	none	contract with employer	never	tried English but unable
10881	high school	male	France	seek better job	child care provider	none	interviews with employer	many times as tourist	broken English
10882	no formal	male	France	seek better job	child care provider	3-5 years	will look for work	many times as tourist	broken English
10883	no formal	female	Sudan	escape persecution	teacher	none	interviews with employer	six months with family	fluent English
10884	high school	female	Philippines	reunite with family	child care provider	none	contract with employer	many times as tourist	tried English but unable
10885	high school	female	India	reunite with family	teacher	3-5 years	will look for work	six months with family	tried English but unable
10886	high school	female	India	seek better job	gardener	5+ years	no plans to look for work	once as tourist	fluent English
10887	high school	male	France	seek better job	nurse	5+ years	contract with employer	six months with family	used interpreter
10888	no formal	male	Sudan	escape persecution	teacher	5+ years	no plans to look for work	six months with family	used interpreter
10889	two-year college	female	Germany	seek better job	child care provider	5+ years	no plans to look for work	once as tourist	used interpreter
10890	two-year college	female	Philippines	reunite with family	financial analyst	none	will look for work	once as tourist	tried English but unable
10891	graduate degree	male	Iraq	seek better job	doctor	5+ years	will look for work	six months with family	broken English
10892	graduate degree	male	Sudan	escape persecution	child care provider	3-5 years	no plans to look for work	never	broken English
10893	no formal	male	Mexico	seek better job	gardener	3-5 years	will look for work	once as tourist	tried English but unable
10894	8th grade	male	Poland	reunite with family	waiter	1-2 years	contract with employer	six months with family	broken English
10895	high school	female	India	reunite with family	waiter	3-5 years	will look for work	six months with family	used interpreter
10896	4th grade	female	Germany	reunite with family	janitor	3-5 years	will look for work	many times as tourist	used interpreter
10897	two-year college	female	Sudan	seek better job	nurse	1-2 years	will look for work	never	tried English but unable
10898	high school	male	Philippines	seek better job	construction worker	3-5 years	interviews with employer	many times as tourist	used interpreter
10899	two-year college	male	Mexico	seek better job	research scientist	none	will look for work	six months with family	broken English
10900	no formal	male	France	reunite with family	construction worker	3-5 years	will look for work	once as tourist	tried English but unable
10901	graduate degree	male	India	seek better job	teacher	5+ years	interviews with employer	six months with family	tried English but unable
10902	two-year college	male	Philippines	seek better job	waiter	none	interviews with employer	six months with family	tried English but unable
10903	college degree	female	Germany	reunite with family	child care provider	5+ years	will look for work	once as tourist	broken English
10904	no formal	female	Germany	seek better job	waiter	5+ years	contract with employer	many times as tourist	tried English but unable
10905	8th grade	male	Philippines	seek better job	janitor	3-5 years	interviews with employer	once as tourist	broken English
10906	8th grade	female	Mexico	seek better job	nurse	1-2 years	no plans to look for work	never	fluent English
10907	college degree	female	India	reunite with family	doctor	3-5 years	no plans to look for work	six months with family	tried English but unable
10908	college degree	male	Sudan	reunite with family	doctor	none	no plans to look for work	never	fluent English
10909	4th grade	female	India	seek better job	child care provider	none	contract with employer	once as tourist	broken English
10910	college degree	female	France	seek better job	computer programmer	none	contract with employer	six months with family	tried English but unable
10911	8th grade	female	Somalia	reunite with family	waiter	5+ years	contract with employer	six months with family	fluent English
10912	4th grade	male	Mexico	reunite with family	teacher	1-2 years	interviews with employer	six months with family	tried English but unable
10913	graduate degree	male	Iraq	escape persecution	child care provider	1-2 years	no plans to look for work	once w/o authorization	fluent English
10914	college degree	female	Iraq	escape persecution	waiter	3-5 years	contract with employer	six months with family	fluent English
10915	no formal	female	France	reunite with family	waiter	none	contract with employer	many times as tourist	broken English
10916	graduate degree	female	China	reunite with family	nurse	3-5 years	will look for work	six months with family	used interpreter
10917	two-year college	male	Iraq	reunite with family	nurse	none	interviews with employer	once w/o authorization	used interpreter
10918	high school	female	India	reunite with family	waiter	3-5 years	no plans to look for work	once as tourist	fluent English
10919	college degree	female	China	escape persecution	computer programmer	1-2 years	interviews with employer	never	broken English
10920	college degree	male	Philippines	seek better job	doctor	3-5 years	no plans to look for work	never	fluent English
10921	graduate degree	male	Sudan	reunite with family	waiter	3-5 years	will look for work	once w/o authorization	used interpreter
10922	two-year college	female	India	reunite with family	gardener	5+ years	contract with employer	once w/o authorization	used interpreter
10923	no formal	female	China	seek better job	janitor	1-2 years	contract with employer	once as tourist	fluent English
10924	4th grade	male	Philippines	reunite with family	construction worker	3-5 years	contract with employer	once w/o authorization	broken English
10925	high school	male	Somalia	reunite with family	nurse	3-5 years	no plans to look for work	many times as tourist	broken English
10926	no formal	male	India	seek better job	nurse	3-5 years	no plans to look for work	once w/o authorization	used interpreter
10927	high school	female	Poland	seek better job	gardener	3-5 years	contract with employer	never	used interpreter
10928	4th grade	male	Sudan	seek better job	child care provider	1-2 years	will look for work	once as tourist	broken English
10929	two-year college	male	Philippines	reunite with family	gardener	5+ years	interviews with employer	once w/o authorization	tried English but unable
10930	high school	female	France	reunite with family	gardener	5+ years	interviews with employer	never	tried English but unable
10931	college degree	female	France	reunite with family	janitor	5+ years	interviews with employer	many times as tourist	used interpreter
10932	two-year college	male	Somalia	seek better job	doctor	5+ years	contract with employer	many times as tourist	used interpreter
10933	two-year college	female	Germany	reunite with family	research scientist	5+ years	contract with employer	six months with family	tried English but unable
10934	4th grade	male	France	seek better job	teacher	1-2 years	will look for work	once as tourist	broken English
10935	8th grade	female	France	reunite with family	child care provider	1-2 years	interviews with employer	once as tourist	broken English
10936	high school	male	Somalia	reunite with family	gardener	1-2 years	will look for work	never	tried English but unable
10937	8th grade	female	India	seek better job	gardener	3-5 years	will look for work	once w/o authorization	fluent English
10938	8th grade	male	Sudan	escape persecution	nurse	none	interviews with employer	never	broken English
10939	graduate degree	female	Germany	seek better job	nurse	1-2 years	will look for work	six months with family	broken English
10940	8th grade	female	China	escape persecution	waiter	3-5 years	no plans to look for work	once w/o authorization	used interpreter
10941	no formal	female	France	seek better job	waiter	none	contract with employer	never	tried English but unable
10942	no formal	male	India	seek better job	construction worker	none	interviews with employer	once w/o authorization	broken English
10943	college degree	male	Somalia	reunite with family	nurse	1-2 years	will look for work	never	fluent English
10944	college degree	male	Iraq	reunite with family	nurse	1-2 years	will look for work	once w/o authorization	fluent English
